image_id,qtype,fail_stage,detail
image000001,origin_locality,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000001,ingredient_category,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000001,food_pairings,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000001,allergen_restrictions,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000001,dish_classification,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000001,flavor_profile,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000001,dietary_restrictions,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000001,ingredients,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000001,cooking_technique,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000006,,no_anchor_dish,"food_items=['Bún chả', 'Bún', 'Chả nướng', 'Rau sống', 'Lạc rang', 'Nước chấm']"
image000011,,no_anchor_dish,"food_items=['Bún chả', 'Bún tươi', 'Chả nướng', 'Rau sống', 'Nước chấm']"
image000014,,no_anchor_dish,"food_items=['Bún bò Huế', 'Rau sống', 'Chanh', 'Ớt', 'Hành tím', 'Tỏi', 'Chả', 'Xương bò hầm', 'Huyết', 'Thịt bò', 'Bún']"
image000026,,no_anchor_dish,"food_items=['Canh cua mồng tơi mướp', 'Đậu phụ sốt cà chua', 'Thịt rang cháy cạnh', 'Nem chua', 'Cà pháo muối', 'Nước mắm tỏi ớt', 'Tương ớt']"
image000029,food_pairings,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000029,flavor_profile,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000029,dietary_restrictions,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000029,ingredient_category,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000029,ingredients,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000029,origin_locality,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000029,allergen_restrictions,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000029,cooking_technique,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000029,dish_classification,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000034,flavor_profile,retrieve_empty,anchor_dish=Canh Măng Vịt; top_k=8
image000034,dietary_restrictions,retrieve_empty,anchor_dish=Canh Măng Vịt; top_k=8
image000034,food_pairings,retrieve_empty,anchor_dish=Canh Măng Vịt; top_k=8
image000034,dish_classification,retrieve_empty,anchor_dish=Canh Măng Vịt; top_k=8
image000034,ingredient_category,retrieve_empty,anchor_dish=Canh Măng Vịt; top_k=8
image000034,cooking_technique,retrieve_empty,anchor_dish=Canh Măng Vịt; top_k=8
image000034,allergen_restrictions,retrieve_empty,anchor_dish=Canh Măng Vịt; top_k=8
image000034,ingredients,retrieve_empty,anchor_dish=Canh Măng Vịt; top_k=8
image000034,origin_locality,retrieve_empty,anchor_dish=Canh Măng Vịt; top_k=8
image000046,dish_classification,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000046,food_pairings,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000046,dietary_restrictions,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000046,flavor_profile,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000046,origin_locality,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000046,cooking_technique,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000046,ingredient_category,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000046,ingredients,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000046,allergen_restrictions,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000055,,no_anchor_dish,"food_items=['Vịt quay', 'Bún tươi', 'Bánh đa nem', 'Rau sống', 'Dưa chuột', 'Cà rốt', 'Dứa', 'Nước chấm']"
image000058,allergen_restrictions,retrieve_empty,anchor_dish=Canh Ngao Nấu Cà Chua; top_k=8
image000058,flavor_profile,retrieve_empty,anchor_dish=Canh Ngao Nấu Cà Chua; top_k=8
image000058,cooking_technique,retrieve_empty,anchor_dish=Canh Ngao Nấu Cà Chua; top_k=8
image000058,food_pairings,retrieve_empty,anchor_dish=Canh Ngao Nấu Cà Chua; top_k=8
image000058,dish_classification,retrieve_empty,anchor_dish=Canh Ngao Nấu Cà Chua; top_k=8
image000058,ingredient_category,retrieve_empty,anchor_dish=Canh Ngao Nấu Cà Chua; top_k=8
image000058,ingredients,retrieve_empty,anchor_dish=Canh Ngao Nấu Cà Chua; top_k=8
image000058,dietary_restrictions,retrieve_empty,anchor_dish=Canh Ngao Nấu Cà Chua; top_k=8
image000058,origin_locality,retrieve_empty,anchor_dish=Canh Ngao Nấu Cà Chua; top_k=8
image000079,flavor_profile,retrieve_empty,anchor_dish=Canh Khoai Sọ Nấu Xương; top_k=8
image000079,ingredient_category,retrieve_empty,anchor_dish=Canh Khoai Sọ Nấu Xương; top_k=8
image000079,cooking_technique,retrieve_empty,anchor_dish=Canh Khoai Sọ Nấu Xương; top_k=8
image000079,food_pairings,retrieve_empty,anchor_dish=Canh Khoai Sọ Nấu Xương; top_k=8
image000079,dish_classification,retrieve_empty,anchor_dish=Canh Khoai Sọ Nấu Xương; top_k=8
image000079,origin_locality,retrieve_empty,anchor_dish=Canh Khoai Sọ Nấu Xương; top_k=8
image000079,dietary_restrictions,retrieve_empty,anchor_dish=Canh Khoai Sọ Nấu Xương; top_k=8
image000079,ingredients,retrieve_empty,anchor_dish=Canh Khoai Sọ Nấu Xương; top_k=8
image000079,allergen_restrictions,retrieve_empty,anchor_dish=Canh Khoai Sọ Nấu Xương; top_k=8
image000080,cooking_technique,retrieve_empty,anchor_dish=Xôi; top_k=8
image000080,ingredients,retrieve_empty,anchor_dish=Xôi; top_k=8
image000080,origin_locality,retrieve_empty,anchor_dish=Xôi; top_k=8
image000080,flavor_profile,retrieve_empty,anchor_dish=Xôi; top_k=8
image000080,food_pairings,retrieve_empty,anchor_dish=Xôi; top_k=8
image000080,dietary_restrictions,retrieve_empty,anchor_dish=Xôi; top_k=8
image000080,ingredient_category,retrieve_empty,anchor_dish=Xôi; top_k=8
image000080,allergen_restrictions,retrieve_empty,anchor_dish=Xôi; top_k=8
image000080,dish_classification,retrieve_empty,anchor_dish=Xôi; top_k=8
image000102,,no_anchor_dish,"food_items=['Vịt quay', 'Bí đỏ xào tôm', 'Bắp cải luộc', 'Bò kho', 'Bưởi', 'Cà pháo']"
image000106,ingredient_category,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000106,allergen_restrictions,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000106,origin_locality,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000106,food_pairings,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000106,flavor_profile,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000106,dish_classification,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000106,dietary_restrictions,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000106,ingredients,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000106,cooking_technique,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000121,,no_anchor_dish,"food_items=['Bún chả', 'Bún', 'Rau sống', 'Tỏi', 'Ớt', 'Tương ớt', 'Nước mắm']"
image000128,ingredients,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000128,food_pairings,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000128,dish_classification,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000128,cooking_technique,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000128,flavor_profile,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000128,dietary_restrictions,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000128,origin_locality,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000128,allergen_restrictions,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000128,ingredient_category,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000139,,no_anchor_dish,"food_items=['Bún chả', 'Thịt nướng', 'Chả viên nướng', 'Nước chấm', 'Rau sống', 'Bún']"
image000150,dish_classification,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000150,food_pairings,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000150,flavor_profile,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000150,cooking_technique,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000150,ingredients,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000150,ingredient_category,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000150,dietary_restrictions,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000150,allergen_restrictions,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000150,origin_locality,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000155,,no_anchor_dish,"food_items=['Canh cà chua trứng', 'Đậu phụ kho nấm', 'Mực xào dưa chuột', 'Cam']"
image000166,ingredients,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000166,ingredient_category,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000166,dietary_restrictions,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000166,cooking_technique,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000166,allergen_restrictions,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000166,dish_classification,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000166,origin_locality,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000166,food_pairings,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000166,flavor_profile,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000174,,no_anchor_dish,"food_items=['Cơm trắng', 'Thịt heo nướng', 'Xà lách', 'Cà chua', 'Dưa leo', 'Đồ chua', 'Nước chấm']"
image000190,allergen_restrictions,retrieve_empty,anchor_dish=Cá Hấp Hành Gừng; top_k=8
image000190,dietary_restrictions,retrieve_empty,anchor_dish=Cá Hấp Hành Gừng; top_k=8
image000190,cooking_technique,retrieve_empty,anchor_dish=Cá Hấp Hành Gừng; top_k=8
image000190,food_pairings,retrieve_empty,anchor_dish=Cá Hấp Hành Gừng; top_k=8
image000190,flavor_profile,retrieve_empty,anchor_dish=Cá Hấp Hành Gừng; top_k=8
image000190,dish_classification,retrieve_empty,anchor_dish=Cá Hấp Hành Gừng; top_k=8
image000190,ingredient_category,retrieve_empty,anchor_dish=Cá Hấp Hành Gừng; top_k=8
image000190,origin_locality,retrieve_empty,anchor_dish=Cá Hấp Hành Gừng; top_k=8
image000190,ingredients,retrieve_empty,anchor_dish=Cá Hấp Hành Gừng; top_k=8
image000208,ingredients,retrieve_empty,anchor_dish=Canh Xương Khoai Tây; top_k=8
image000208,ingredient_category,retrieve_empty,anchor_dish=Canh Xương Khoai Tây; top_k=8
image000208,flavor_profile,retrieve_empty,anchor_dish=Canh Xương Khoai Tây; top_k=8
image000208,allergen_restrictions,retrieve_empty,anchor_dish=Canh Xương Khoai Tây; top_k=8
image000208,dish_classification,retrieve_empty,anchor_dish=Canh Xương Khoai Tây; top_k=8
image000208,food_pairings,retrieve_empty,anchor_dish=Canh Xương Khoai Tây; top_k=8
image000208,cooking_technique,retrieve_empty,anchor_dish=Canh Xương Khoai Tây; top_k=8
image000208,dietary_restrictions,retrieve_empty,anchor_dish=Canh Xương Khoai Tây; top_k=8
image000208,origin_locality,retrieve_empty,anchor_dish=Canh Xương Khoai Tây; top_k=8
image000209,,no_anchor_dish,"food_items=['Rau củ quả luộc', 'Đậu rán', 'Ba chỉ nướng nổ bì', 'Cà pháo muối', 'Nước mắm tỏi ớt', 'Nước luộc']"
image000210,,no_anchor_dish,"food_items=['Canh cua mồng tơi mướp', 'Cải thảo xào tỏi', 'Ba chỉ kho trám', 'Sung muối']"
image000211,,no_anchor_dish,"food_items=['Canh cua mồng tơi', 'Gà xiên que', 'Bò xào giá', 'Cà pháo muối', 'Tương ớt', 'Sốt mayonnaise và tương cà']"
image000213,ingredients,retrieve_empty,anchor_dish=Canh Ốc Chuối Đậu; top_k=8
image000213,dietary_restrictions,retrieve_empty,anchor_dish=Canh Ốc Chuối Đậu; top_k=8
image000213,origin_locality,retrieve_empty,anchor_dish=Canh Ốc Chuối Đậu; top_k=8
image000213,dish_classification,retrieve_empty,anchor_dish=Canh Ốc Chuối Đậu; top_k=8
image000213,food_pairings,retrieve_empty,anchor_dish=Canh Ốc Chuối Đậu; top_k=8
image000213,ingredient_category,retrieve_empty,anchor_dish=Canh Ốc Chuối Đậu; top_k=8
image000213,cooking_technique,retrieve_empty,anchor_dish=Canh Ốc Chuối Đậu; top_k=8
image000213,allergen_restrictions,retrieve_empty,anchor_dish=Canh Ốc Chuối Đậu; top_k=8
image000213,flavor_profile,retrieve_empty,anchor_dish=Canh Ốc Chuối Đậu; top_k=8
image000228,food_pairings,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000228,flavor_profile,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000228,ingredients,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000228,origin_locality,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000228,allergen_restrictions,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000228,dish_classification,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000228,cooking_technique,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000228,dietary_restrictions,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000228,ingredient_category,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000229,allergen_restrictions,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000229,food_pairings,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000229,ingredient_category,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000229,ingredients,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000229,origin_locality,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000229,dish_classification,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000229,dietary_restrictions,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000229,flavor_profile,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000229,cooking_technique,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000236,ingredient_category,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000236,cooking_technique,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000236,origin_locality,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000236,flavor_profile,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000236,dietary_restrictions,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000236,ingredients,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000236,dish_classification,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000236,allergen_restrictions,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000236,food_pairings,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000240,food_pairings,retrieve_empty,anchor_dish=Tôm Chiên Xù; top_k=8
image000240,dietary_restrictions,retrieve_empty,anchor_dish=Tôm Chiên Xù; top_k=8
image000240,flavor_profile,retrieve_empty,anchor_dish=Tôm Chiên Xù; top_k=8
image000240,ingredients,retrieve_empty,anchor_dish=Tôm Chiên Xù; top_k=8
image000240,ingredient_category,retrieve_empty,anchor_dish=Tôm Chiên Xù; top_k=8
image000240,dish_classification,retrieve_empty,anchor_dish=Tôm Chiên Xù; top_k=8
image000240,origin_locality,retrieve_empty,anchor_dish=Tôm Chiên Xù; top_k=8
image000240,allergen_restrictions,retrieve_empty,anchor_dish=Tôm Chiên Xù; top_k=8
image000240,cooking_technique,retrieve_empty,anchor_dish=Tôm Chiên Xù; top_k=8
image000247,ingredient_category,no_candidates,anchor_dish=Cà Tím Kho; retrieved=1; filtered_rows=0; relations=[]
image000247,origin_locality,no_candidates,anchor_dish=Cà Tím Kho; retrieved=1; filtered_rows=0; relations=[]
image000247,dietary_restrictions,no_candidates,anchor_dish=Cà Tím Kho; retrieved=1; filtered_rows=0; relations=[]
image000247,food_pairings,no_candidates,anchor_dish=Cà Tím Kho; retrieved=1; filtered_rows=0; relations=[]
image000247,ingredients,no_candidates,anchor_dish=Cà Tím Kho; retrieved=1; filtered_rows=0; relations=[]
image000247,allergen_restrictions,no_candidates,anchor_dish=Cà Tím Kho; retrieved=1; filtered_rows=0; relations=[]
image000247,flavor_profile,no_candidates,anchor_dish=Cà Tím Kho; retrieved=1; filtered_rows=0; relations=[]
image000247,dish_classification,no_candidates,anchor_dish=Cà Tím Kho; retrieved=1; filtered_rows=0; relations=[]
image000254,dietary_restrictions,retrieve_empty,anchor_dish=Trứng Chiên Thái Sợi; top_k=8
image000254,cooking_technique,retrieve_empty,anchor_dish=Trứng Chiên Thái Sợi; top_k=8
image000254,ingredient_category,retrieve_empty,anchor_dish=Trứng Chiên Thái Sợi; top_k=8
image000254,food_pairings,retrieve_empty,anchor_dish=Trứng Chiên Thái Sợi; top_k=8
image000254,origin_locality,retrieve_empty,anchor_dish=Trứng Chiên Thái Sợi; top_k=8
image000254,dish_classification,retrieve_empty,anchor_dish=Trứng Chiên Thái Sợi; top_k=8
image000254,allergen_restrictions,retrieve_empty,anchor_dish=Trứng Chiên Thái Sợi; top_k=8
image000254,ingredients,retrieve_empty,anchor_dish=Trứng Chiên Thái Sợi; top_k=8
image000254,flavor_profile,retrieve_empty,anchor_dish=Trứng Chiên Thái Sợi; top_k=8
image000277,,no_anchor_dish,"food_items=['Dồi sụn nướng', 'Canh cà chua', 'Đậu cô ve luộc', 'Dưa chuột', 'Rau sống', 'Nước chấm tỏi ớt']"
image000287,,no_anchor_dish,"food_items=['Cơm trắng', 'Cá kho tộ', 'Bông bí xào', 'Canh cua mướp mồng tơi', 'Cà pháo muối', 'Nước lọc']"
image000294,flavor_profile,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000294,dietary_restrictions,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000294,food_pairings,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000294,ingredient_category,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000294,dish_classification,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000294,cooking_technique,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000294,ingredients,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000294,origin_locality,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000294,allergen_restrictions,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000298,,no_anchor_dish,"food_items=['Bò lúc lắc', 'Canh cà chua', 'Salad rau mầm', 'Cuốn tôm thịt', 'Trái cây', 'Nước chấm']"
image000305,,no_anchor_dish,"food_items=['Bún chả giò', 'Củ kiệu', 'Đậu phộng rang', 'Nước mắm']"
image000308,,no_anchor_dish,"food_items=['Bún chả', 'Bún', 'Thịt nướng', 'Nước chấm', 'Rau sống', 'Tỏi', 'Ớt']"
image000319,ingredients,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000319,food_pairings,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000319,allergen_restrictions,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000319,ingredient_category,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000319,origin_locality,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000319,dietary_restrictions,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000319,dish_classification,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000319,flavor_profile,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000319,cooking_technique,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000328,,no_anchor_dish,"food_items=['Bún chả', 'Bún', 'Thịt nướng', 'Nước chấm', 'Rau sống', 'Chanh', 'Ớt']"
image000336,ingredients,retrieve_empty,anchor_dish=Canh Mướp Mồng Tơi; top_k=8
image000336,allergen_restrictions,retrieve_empty,anchor_dish=Canh Mướp Mồng Tơi; top_k=8
image000336,cooking_technique,retrieve_empty,anchor_dish=Canh Mướp Mồng Tơi; top_k=8
image000336,ingredient_category,retrieve_empty,anchor_dish=Canh Mướp Mồng Tơi; top_k=8
image000336,food_pairings,retrieve_empty,anchor_dish=Canh Mướp Mồng Tơi; top_k=8
image000336,flavor_profile,retrieve_empty,anchor_dish=Canh Mướp Mồng Tơi; top_k=8
image000336,dietary_restrictions,retrieve_empty,anchor_dish=Canh Mướp Mồng Tơi; top_k=8
image000336,dish_classification,retrieve_empty,anchor_dish=Canh Mướp Mồng Tơi; top_k=8
image000336,origin_locality,retrieve_empty,anchor_dish=Canh Mướp Mồng Tơi; top_k=8
image000342,,no_anchor_dish,"food_items=['Bánh khọt', 'Rau sống', 'Đu đủ bào']"
image000344,ingredient_category,retrieve_empty,anchor_dish=Cá Hồi Áp Chảo; top_k=8
image000344,food_pairings,retrieve_empty,anchor_dish=Cá Hồi Áp Chảo; top_k=8
image000344,allergen_restrictions,retrieve_empty,anchor_dish=Cá Hồi Áp Chảo; top_k=8
image000344,dietary_restrictions,retrieve_empty,anchor_dish=Cá Hồi Áp Chảo; top_k=8
image000344,flavor_profile,retrieve_empty,anchor_dish=Cá Hồi Áp Chảo; top_k=8
image000344,ingredients,retrieve_empty,anchor_dish=Cá Hồi Áp Chảo; top_k=8
image000344,dish_classification,retrieve_empty,anchor_dish=Cá Hồi Áp Chảo; top_k=8
image000344,origin_locality,retrieve_empty,anchor_dish=Cá Hồi Áp Chảo; top_k=8
image000344,cooking_technique,retrieve_empty,anchor_dish=Cá Hồi Áp Chảo; top_k=8
image000350,,no_anchor_dish,food_items=['Bò lúc lắc']
image000352,,no_anchor_dish,"food_items=['Bún riêu', 'Rau sống', 'Chanh', 'Ớt']"
image000357,,no_anchor_dish,"food_items=['Mì Quảng khô', 'Gà kho', 'Rau sống', 'Đậu phộng']"
image000371,dish_classification,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000371,flavor_profile,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000371,allergen_restrictions,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000371,cooking_technique,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000371,ingredient_category,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000371,dietary_restrictions,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000371,food_pairings,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000371,ingredients,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000371,origin_locality,retrieve_empty,anchor_dish=Cá Kho; top_k=8
image000384,,no_anchor_dish,"food_items=['Bún bò Huế', 'Xoài bào', 'Tắc', 'Ớt', 'Rau sống', 'Bún thịt nướng chả giò', 'Nước mắm tỏi ớt']"
image000392,dish_classification,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000392,ingredient_category,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000392,ingredients,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000392,origin_locality,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000392,flavor_profile,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000392,food_pairings,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000392,allergen_restrictions,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000392,cooking_technique,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000392,dietary_restrictions,retrieve_empty,anchor_dish=Tôm Rim; top_k=8
image000428,,no_anchor_dish,"food_items=['Canh cua nấu rau', 'Giò lụa', 'Cà pháo', 'Súp lơ xanh luộc', 'Lạc rang muối']"
image000444,allergen_restrictions,retrieve_empty,anchor_dish=Cá Hồi Áp Chảo; top_k=8
image000444,flavor_profile,retrieve_empty,anchor_dish=Cá Hồi Áp Chảo; top_k=8
image000444,ingredients,retrieve_empty,anchor_dish=Cá Hồi Áp Chảo; top_k=8
image000444,cooking_technique,retrieve_empty,anchor_dish=Cá Hồi Áp Chảo; top_k=8
image000444,dietary_restrictions,retrieve_empty,anchor_dish=Cá Hồi Áp Chảo; top_k=8
image000444,dish_classification,retrieve_empty,anchor_dish=Cá Hồi Áp Chảo; top_k=8
image000444,ingredient_category,retrieve_empty,anchor_dish=Cá Hồi Áp Chảo; top_k=8
image000444,origin_locality,retrieve_empty,anchor_dish=Cá Hồi Áp Chảo; top_k=8
image000444,food_pairings,retrieve_empty,anchor_dish=Cá Hồi Áp Chảo; top_k=8
image000457,cooking_technique,retrieve_empty,anchor_dish=Trứng Chiên Lá Hẹ; top_k=8
image000457,allergen_restrictions,retrieve_empty,anchor_dish=Trứng Chiên Lá Hẹ; top_k=8
image000457,flavor_profile,retrieve_empty,anchor_dish=Trứng Chiên Lá Hẹ; top_k=8
image000457,ingredients,retrieve_empty,anchor_dish=Trứng Chiên Lá Hẹ; top_k=8
image000457,food_pairings,retrieve_empty,anchor_dish=Trứng Chiên Lá Hẹ; top_k=8
image000457,dish_classification,retrieve_empty,anchor_dish=Trứng Chiên Lá Hẹ; top_k=8
image000457,origin_locality,retrieve_empty,anchor_dish=Trứng Chiên Lá Hẹ; top_k=8
image000457,dietary_restrictions,retrieve_empty,anchor_dish=Trứng Chiên Lá Hẹ; top_k=8
image000457,ingredient_category,retrieve_empty,anchor_dish=Trứng Chiên Lá Hẹ; top_k=8
image000462,origin_locality,retrieve_empty,anchor_dish=Chân Gà Luộc; top_k=8
image000462,food_pairings,retrieve_empty,anchor_dish=Chân Gà Luộc; top_k=8
image000462,allergen_restrictions,retrieve_empty,anchor_dish=Chân Gà Luộc; top_k=8
image000462,cooking_technique,retrieve_empty,anchor_dish=Chân Gà Luộc; top_k=8
image000462,dish_classification,retrieve_empty,anchor_dish=Chân Gà Luộc; top_k=8
